peak_number,ell,D_ell,smoothed_D_ell,prominence,angular_scale_degrees,D_ell_mean_error,peak_signal_to_uncertainty,spacing_from_previous_ell
1,224.0,6111.00352,5833.964775907256,5071.852496990464,0.8035714285714286,530.173289,11.526426635952232,
2,514.0,2349.22449,2579.220775547276,869.8105421799596,0.35019455252918286,157.670362,14.89959469998553,290.0
3,822.0,2494.11957,2538.950739913569,739.6429499511682,0.21897810218978103,126.713587,19.683126561636993,308.0
